Dates GLD SPY SHY
41709 129.860001 180.99909 83.818399
41708 129.130005 181.898148 83.818399
41705 129.089996 181.994811 83.80848
41704 130.169998 181.917472 83.868029
41703 128.889999 181.501789 83.917658
41702 128.679993 181.337448 83.887876
41701 130.289993 178.823969 83.957352
41698 127.620003 180.090371 83.90971
41697 128.199997 179.636025 83.90971
41696 128.110001 178.698305 83.919635
41695 129.210007 178.688629 83.879942
41694 128.990005 178.756306 83.889867
41691 127.580002 177.770247 83.889867
41690 127.599998 177.973265 83.879942
41689 126.269997 176.929205 83.870017
41688 127.400002 178.108605 83.899792
41684 127.150002 177.895925 83.870017
41683 125.489998 176.919528 83.870017
41682 124.43 176.010823 83.820406
41681 124.360001 175.923807 83.860099
41680 122.919998 174.019366 83.879942
41677 122.169998 173.700347 83.899792
41676 121.239998 171.573565 83.879942
41675 121.290001 169.340442 83.870017
41674 120.989998 169.553122 83.90971
41673 121.32 168.373722 83.899792
41670 120.089996 172.250266 83.876968
41669 119.769997 173.265326 83.837286
41668 122.470001 171.447901 83.847201
41667 120.949997 173.110662 83.787681
41666 120.959999 172.085925 83.787681
41663 122.290001 172.936644 83.797603
41662 121.790001 176.706849 83.767843
41661 119.190002 178.166606 83.688478
41660 119.699997 178.05059 83.728161
41656 120.93 177.528567 83.738083
41655 119.790001 178.282608 83.738083
41654 119.660004 178.514626 83.718238
41653 119.889999 177.557567 83.747998
41652 121.019997 175.643465 83.767843
41649 120.260002 178.011927 83.747998
41648 118.459999 177.528567 83.668633
41647 118.120003 177.412565 83.648796
41646 118.82 177.373888 83.728161
41645 119.5 176.291166 83.728161
41642 119.290001 176.803526 83.718238
41641 118 176.832527 83.747998
41639 116.120003 178.543626 83.708316
41638 115.389999 177.702584 83.728161
41635 117.120003 177.731585 83.708316
41634 116.739998 177.741247 83.668633
41632 116.099998 176.842189 83.677571
41631 115.57 176.455506 83.707324
41628 115.940002 175.517786 83.717244
41627 114.82 174.502736 83.746996
41626 117.610001 174.704643 83.796581
41625 118.650002 171.772063 83.796581
41624 119.690002 172.320125 83.776749
41621 119.379997 171.252859 83.776749
41620 118.290001 171.272093 83.756909
41619 120.860001 171.839375 83.786669
41618 121.82 173.79122 83.816422
41617 119.720001 174.416189 83.786669
41614 118.550003 173.973907 83.786669
41613 118.300003 172.050906 83.816422
41612 119.959999 172.810485 83.806502
41611 117.959999 172.829719 83.826334
41610 117.580002 173.579689 83.806502
41607 120.699997 174.031595 83.857079
41605 119.459999 174.14697 83.847161
41604 119.82 173.723908 83.847161
41603 120.459999 173.675845 83.837251
41600 119.919998 173.848908 83.837251
41599 119.940002 172.983563 83.857079
41598 120.120003 171.599 83.817416
41597 122.949997 172.137438 83.807498
41596 122.900002 172.512423 83.837251
